granule_url,granule_id,polygon,descriptor,polygon_full,size_mb,mem_request,dsk_request
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264245885/processed_ATL03_20190920163331_12920405_006_02.h5,ATL03_20190920163331_12920405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,221.38,6878MB,2590347KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264247016/processed_ATL03_20190905035615_10550403_006_02.h5,ATL03_20190905035615_10550403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,99.84,5298MB,2266240KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264247916/processed_ATL03_20190911154131_11540405_006_02.h5,ATL03_20190911154131_11540405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,469.28,10101MB,3251414KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264248493/processed_ATL03_20190922025720_13140403_006_02.h5,ATL03_20190922025720_13140403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,55.45,4721MB,2147867KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264248935/processed_ATL03_20190928015743_00180503_006_02.h5,ATL03_20190928015743_00180503_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,382.82,8977MB,3020854KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264249186/processed_ATL03_20190909163250_11240405_006_02.h5,ATL03_20190909163250_11240405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,389.62,9066MB,3038987KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264250005/processed_ATL03_20190918030539_12530403_006_02.h5,ATL03_20190918030539_12530403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,114.48,5489MB,2305280KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264250322/processed_ATL03_20190909034757_11160403_006_02.h5,ATL03_20190909034757_11160403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,57.95,4754MB,2154534KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264250858/processed_ATL03_20190916022239_12220403_006_02.h5,ATL03_20190916022239_12220403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,227.38,6956MB,2606347KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264250905/processed_ATL03_20190911025638_11460403_006_02.h5,ATL03_20190911025638_11460403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,32.89,4428MB,2087707KB
