granule_url,granule_id,polygon,descriptor,polygon_full,size_mb,mem_request,dsk_request
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264232327/processed_ATL03_20190907154951_10930405_006_02.h5,ATL03_20190907154951_10930405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,615.57,11029MB,3038925KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264234526/processed_ATL03_20190926153355_13830405_006_02.h5,ATL03_20190926153355_13830405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,201.29,5307MB,2003225KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264237309/processed_ATL03_20190912023059_11610403_006_02.h5,ATL03_20190912023059_11610403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,28.35,1779MB,1570875KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264238493/processed_ATL03_20190908165829_11090405_006_02.h5,ATL03_20190908165829_11090405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,454.79,8949MB,2636975KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264238831/processed_ATL03_20190917033118_12380403_006_02.h5,ATL03_20190917033118_12380403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,10.22,1409MB,1525550KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264240611/processed_ATL03_20190906033036_10700403_006_02.h5,ATL03_20190906033036_10700403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,18.51,1578MB,1546275KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264240724/processed_ATL03_20190924162513_13530405_006_02.h5,ATL03_20190924162513_13530405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,142.24,4102MB,1855600KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264241817/processed_ATL03_20190916164150_12310405_006_02.h5,ATL03_20190916164150_12310405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,347.05,7556MB,2367625KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264245885/processed_ATL03_20190920163331_12920405_006_02.h5,ATL03_20190920163331_12920405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,221.38,5717MB,2053450KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264247016/processed_ATL03_20190905035615_10550403_006_02.h5,ATL03_20190905035615_10550403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,99.84,3237MB,1749600KB
