ice_sheet,melt_season,geojson,start_date,end_date,status_url,request_code,ngranules_request,status,orderID,status_txt,nprocessed,n_links,gran_list_url,order_overview_url,order_summary_url,available_until
AIS,2018-19,simplified_ANT_1000_East_Ap-B.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624170,201,480,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_East_Ap-B.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624171,201,491,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_East_Ap-B.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624172,201,484,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_East_Ap-B.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624173,201,486,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_East_Ap-B.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624174,201,486,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_East_Jpp-K.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624175,201,940,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_East_Jpp-K.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624176,201,977,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_East_Jpp-K.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624177,201,942,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_East_Jpp-K.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624178,201,967,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_East_Jpp-K.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624179,201,952,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_West_Ep-F.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624180,201,1502,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_West_Ep-F.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624181,201,1527,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_West_Ep-F.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624182,201,1493,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_West_Ep-F.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624184,201,1527,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_West_Ep-F.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624185,201,1519,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_East_K-A.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624186,201,390,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_East_K-A.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624209,201,401,,,-1,0,0,,,,
