ice_sheet,melt_season,geojson,start_date,end_date,status_url,ngranules_request,request_code
AIS,2022-23,simplified_ANT_1000_Peninsula_I-Ipp.geojson,2022-11-01,2023-03-31,-1,-1,-1
AIS,2018-19,simplified_ANT_1000_East_E-Ep.geojson,2018-11-01,2019-03-31,-1,-1,-1
AIS,2019-20,simplified_ANT_1000_East_E-Ep.geojson,2019-11-01,2020-03-31,-1,-1,-1
AIS,2020-21,simplified_ANT_1000_East_E-Ep.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_East_E-Ep.geojson,2021-11-01,2022-03-31,-1,-1,-1
AIS,2022-23,simplified_ANT_1000_East_E-Ep.geojson,2022-11-01,2023-03-31,-1,-1,-1
AIS,2018-19,simplified_ANT_1000_East_B-C.geojson,2018-11-01,2019-03-31,-1,-1,-1
AIS,2019-20,simplified_ANT_1000_East_B-C.geojson,2019-11-01,2020-03-31,-1,-1,-1
AIS,2020-21,simplified_ANT_1000_East_B-C.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_East_B-C.geojson,2021-11-01,2022-03-31,-1,-1,-1
AIS,2022-23,simplified_ANT_1000_East_B-C.geojson,2022-11-01,2023-03-31,-1,-1,-1
AIS,2018-19,simplified_ANT_1000_East_Cp-D.geojson,2018-11-01,2019-03-31,-1,-1,-1
AIS,2019-20,simplified_ANT_1000_East_Cp-D.geojson,2019-11-01,2020-03-31,-1,-1,-1
AIS,2020-21,simplified_ANT_1000_East_Cp-D.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_East_Cp-D.geojson,2021-11-01,2022-03-31,-1,-1,-1
AIS,2022-23,simplified_ANT_1000_East_Cp-D.geojson,2022-11-01,2023-03-31,-1,-1,-1
