ice_sheet,melt_season,geojson,start_date,end_date,status_url,request_code,ngranules_request
AIS,2022-23,simplified_ANT_1000_West_F-G.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624217,201,444
AIS,2018-19,simplified_ANT_1000_Peninsula_Hp-I.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624218,201,201
AIS,2019-20,simplified_ANT_1000_Peninsula_Hp-I.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624220,201,211
AIS,2020-21,simplified_ANT_1000_Peninsula_Hp-I.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624221,201,204
AIS,2021-22,simplified_ANT_1000_Peninsula_Hp-I.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624222,201,205
AIS,2022-23,simplified_ANT_1000_Peninsula_Hp-I.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624223,201,203
AIS,2018-19,simplified_ANT_1000_Peninsula_Ipp-J.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624224,201,79
AIS,2019-20,simplified_ANT_1000_Peninsula_Ipp-J.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624225,201,83
AIS,2020-21,simplified_ANT_1000_Peninsula_Ipp-J.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624226,201,81
AIS,2021-22,simplified_ANT_1000_Peninsula_Ipp-J.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624227,201,85
AIS,2022-23,simplified_ANT_1000_Peninsula_Ipp-J.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624228,201,79
AIS,2018-19,simplified_ANT_1000_East_D-Dp.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624229,201,267
AIS,2019-20,simplified_ANT_1000_East_D-Dp.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624230,201,280
AIS,2020-21,simplified_ANT_1000_East_D-Dp.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624231,201,275
AIS,2021-22,simplified_ANT_1000_East_D-Dp.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624232,201,280
AIS,2022-23,simplified_ANT_1000_East_D-Dp.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624233,201,269
