IS2_id,time_sonar,ndwi_thresh,ndwi_match_perc,ndwi_match_perc_norm,ndwi_match_perc_depth,ndwi_match_perc_max,Rsquared_log_B2B3,Rsquared_log_B2B3_match,Rsquared_log_B2,Rsquared_log_B2_match,Rsquared_log_B3,Rsquared_log_B3_match,Rsquared_log_B4,Rsquared_log_B4_match,Rsquared_max_full,Rsquared_max_match,Rsquared_max
lake_greenland_melling_1_02,2020-07-06T01:02:59Z,0.125,95.54655870445345,93.11740890688259,100.0,95.54655870445345,0.911718816319593,0.9616431268082488,0.8940665643880032,0.936932784446064,0.9248740607720192,0.973872613419005,0.8498747435263974,0.8936714827693746,0.9248740607720192,0.973872613419005,0.973872613419005
lake_greenland_melling_1_03,2020-07-06T01:02:59Z,0.125,95.95141700404858,94.33198380566802,100.0,95.95141700404858,0.8769651150246331,0.8893451512833452,0.8513225020548125,0.8427533805238288,0.8958241560060921,0.9117873180536796,0.8034277574721425,0.5900818312986305,0.8958241560060921,0.9117873180536796,0.9117873180536796
lake_greenland_melling_1_04,2020-07-06T01:02:59Z,0.125,95.95141700404858,95.95141700404858,94.41340782122904,95.95141700404858,0.9669028018015279,0.9701052736097269,0.9502026203373429,0.9433251534273743,0.9777431255399179,0.9836692746587872,0.9869767755293002,0.984533140434521,0.9869767755293002,0.984533140434521,0.9869767755293002
lake_greenland_melling_2_00,2020-07-17T11:51:47Z,0.125,96.94444444444444,96.38888888888889,95.95588235294117,96.94444444444444,0.9199646212746191,0.8385421781033138,0.8951419729117163,0.7880545193138977,0.9387200663888654,0.8706166182227624,0.9720669401237189,0.9287759735140275,0.9720669401237189,0.9287759735140275,0.9720669401237189
lake_greenland_melling_2_01,2020-07-17T11:51:47Z,0.125,85.83333333333333,85.83333333333333,81.25,85.83333333333333,0.9132765682552832,0.9199031157438193,0.8907498360872499,0.8831753970977018,0.928697365962663,0.9372372252443948,0.9537487071268724,0.9631255691604095,0.9537487071268724,0.9631255691604095,0.9631255691604095
lake_greenland_melling_2_02,2020-07-17T11:51:47Z,0.125,88.05555555555556,88.33333333333333,100.0,88.33333333333333,0.8525429574429546,0.847215093564165,0.819443976042642,0.7980605296647862,0.8799786527694922,0.8799882000397078,0.9533125561253845,0.9408523098739272,0.9533125561253845,0.9408523098739272,0.9533125561253845
lake_greenland_melling_2_03,2020-07-17T11:51:47Z,0.125,84.16666666666667,83.33333333333334,79.04411764705883,84.16666666666667,0.8698847279287181,0.8932351723340325,0.8389760764168271,0.851796175151521,0.893243381302005,0.9203340785129953,0.9358512520121314,0.9594113438699166,0.9358512520121314,0.9594113438699166,0.9594113438699166
lake_greenland_melling_3_00,2020-07-06T01:02:56Z,0.125,80.1556420233463,97.66536964980544,100.0,97.66536964980544,0.8383608047382711,0.5614988186802979,0.7625229847342202,0.3060638467081029,0.894715074799246,0.759629163832712,0.9440757086516358,0.9044931672179031,0.9440757086516358,0.9044931672179031,0.9440757086516358
lake_greenland_melling_3_01,2020-07-06T01:02:56Z,0.125,66.9260700389105,67.70428015564202,100.0,67.70428015564202,0.7494005951838362,0.5407086421667361,0.5816885542869832,0.18020234348541067,0.8606530472185132,0.8250976874393542,0.4859025206790367,-0.0564048207120819,0.8606530472185132,0.8250976874393542,0.8606530472185132
lake_greenland_melling_3_02,2020-07-06T01:02:56Z,0.125,66.9260700389105,67.70428015564202,100.0,67.70428015564202,0.8071983161239019,0.6768981773630556,0.6244657460831446,0.23063581515277076,0.8942379448523361,0.8758183909150856,0.21506483165626997,0.005127802875930855,0.8942379448523361,0.8758183909150856,0.8942379448523361
lake_greenland_melling_3_03,2020-07-06T01:02:56Z,0.125,66.9260700389105,61.86770428015564,100.0,66.9260700389105,0.6095768290921979,-0.011598756235986708,0.42601397860199974,-0.16358070138284925,0.730689198692264,0.25029470492561307,-0.30030002409875145,-0.8285353693797242,0.730689198692264,0.25029470492561307,0.730689198692264
lake_greenland_melling_3_04,2020-07-06T01:02:56Z,0.125,80.93385214007782,81.71206225680933,71.51162790697676,81.71206225680933,0.9312446128294686,0.9537251174580199,0.9258505716074257,0.9358374906243798,0.9355027965213265,0.965545580269469,0.9401606354615533,0.9813471752760661,0.9401606354615533,0.9813471752760661,0.9813471752760661
lake_greenland_melling_4_00,2020-07-06T01:02:48Z,0.125,94.11764705882352,94.48529411764706,91.44385026737967,94.48529411764706,0.9340519262060858,0.9488877165915486,0.8970548781689403,0.9044580487212196,0.9621838278480797,0.9737478323740023,0.9518099714261129,0.8549202786326687,0.9621838278480797,0.9737478323740023,0.9737478323740023
lake_greenland_melling_4_01,2020-07-06T01:02:48Z,0.125,82.35294117647058,82.35294117647058,74.33155080213903,82.35294117647058,0.8907120746880086,0.9585030616180156,0.8578658022580525,0.9463092423520084,0.9169453851448337,0.9654483523561725,0.934231503300615,0.8881877809756022,0.934231503300615,0.9654483523561725,0.9654483523561725
lake_greenland_melling_4_02,2020-07-06T01:02:48Z,0.125,64.33823529411765,68.75,48.1283422459893,68.75,0.6464966155910264,0.17763009059911844,0.6187163071311661,0.11250961486817126,0.6724668838066505,0.23065884307757328,0.7029355270195135,0.12855574733572528,0.7029355270195135,0.23065884307757328,0.7029355270195135
lake_greenland_melling_4_03,2020-07-06T01:02:48Z,0.125,99.26470588235294,99.26470588235294,98.93048128342245,99.26470588235294,0.9308288092760846,0.9294396112727725,0.9031828400824136,0.8810149315083015,0.9529920531241061,0.9603314493959181,0.9748110206326255,0.9717906799890297,0.9748110206326255,0.9717906799890297,0.9748110206326255
lake_greenland_melling_5_00,2019-07-16T05:20:46Z,0.125,94.79166666666666,94.79166666666666,93.26599326599326,94.79166666666666,0.9050659000336598,0.8361450947244498,0.8736231718297951,0.7773040086117873,0.9286925736511065,0.8822183129276877,0.9364482902754613,0.8853918286820337,0.9364482902754613,0.8853918286820337,0.9364482902754613
lake_greenland_melling_5_01,2019-07-16T05:20:46Z,0.125,94.79166666666666,94.79166666666666,93.26599326599326,94.79166666666666,0.9052419635149282,0.8365860445691409,0.8739706712558322,0.7781482827405058,0.9287618158997201,0.8824021837877558,0.9364239322970371,0.8852983653999579,0.9364239322970371,0.8852983653999579,0.9364239322970371
lake_greenland_melling_5_02,2019-07-16T05:20:46Z,0.125,97.39583333333334,97.39583333333334,100.0,97.39583333333334,0.9291810415922924,0.8782965294170069,0.8958782588023083,0.8173513709426916,0.9513241435771236,0.9140242218431941,0.9420598428638361,0.8703137603302878,0.9513241435771236,0.9140242218431941,0.9513241435771236
lake_greenland_melling_5_03,2019-07-16T05:20:46Z,0.125,97.39583333333334,97.39583333333334,100.0,97.39583333333334,0.9289426924638702,0.8781461901448528,0.8955663809432405,0.8169681899437515,0.9511752981959172,0.9140106036527802,0.9419292995102978,0.8700486991329085,0.9511752981959172,0.9140106036527802,0.9511752981959172
lake_greenland_melling_5_04,2019-07-16T05:20:46Z,0.125,91.92708333333334,92.96875,89.56228956228956,92.96875,0.9103255714665807,0.7573385191827271,0.8587405798786321,0.6312070534659273,0.9463340235860858,0.8524047697145979,0.9659733442254739,0.8804611853015256,0.9659733442254739,0.8804611853015256,0.9659733442254739
lake_greenland_melling_5_05,2019-07-16T05:20:46Z,0.125,91.92708333333334,92.96875,89.56228956228956,92.96875,0.9100947225126754,0.7568089389252883,0.8584954225768961,0.6308332045030759,0.9461867716870294,0.8519242639739126,0.96601838436343,0.8805495381206054,0.96601838436343,0.8805495381206054,0.96601838436343
lake_greenland_melling_5_06,2019-07-16T05:20:46Z,0.125,91.14583333333334,90.88541666666666,88.55218855218855,91.14583333333334,0.9329351251376236,0.8145709431317913,0.895123846994514,0.7164369046632356,0.9572544235585676,0.8795028778621112,0.9627317757213762,0.8795368918321131,0.9627317757213762,0.8795368918321131,0.9627317757213762
lake_greenland_melling_5_07,2019-07-16T05:20:46Z,0.125,91.14583333333334,90.36458333333334,88.55218855218855,91.14583333333334,0.9279402905221511,0.804388063246773,0.886582592917879,0.6986385184659107,0.95406964912883,0.8738277128862715,0.9235584454475313,0.8729495069642366,0.95406964912883,0.8738277128862715,0.95406964912883
