,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
48,ATL03_20210806152720_06721204_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2021_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2021_2000_NE-135549_ATL03_20210806152720_06721204_006_01.h5-89.log,The job restarted too many times,False
49,ATL03_20210902035443_10771204_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2021_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2021_2000_NE-135549_ATL03_20210902035443_10771204_006_02.h5-92.log,The job restarted too many times,False
50,ATL03_20210907142047_11601204_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2021_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2021_2000_NE-135549_ATL03_20210907142047_11601204_006_02.h5-94.log,The job restarted too many times,False
51,ATL03_20220531152516_10621505_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220531152516_10621505_006_01.h5-100.log,The job restarted too many times,False
52,ATL03_20220604005743_11141503_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220604005743_11141503_006_01.h5-101.log,The job restarted too many times,False
53,ATL03_20220612004102_12361503_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220612004102_12361503_006_01.h5-104.log,The job restarted too many times,False
54,ATL03_20220624235028_00471603_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220624235028_00471603_006_01.h5-108.log,The job restarted too many times,False
55,ATL03_20220701002507_01391603_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220701002507_01391603_006_02.h5-110.log,The job restarted too many times,False
56,ATL03_20220705130144_02081605_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220705130144_02081605_006_02.h5-113.log,The job restarted too many times,False
57,ATL03_20220803222716_06571603_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220803222716_06571603_006_01.h5-119.log,The job restarted too many times,False
